scenario,operation,second,latency_ms,ok
none,product page,10.260,2.732,true
none,product page,10.270,2.744,true
none,product page,10.280,1.146,true
none,checkout,10.290,16.967,true
none,product page,10.300,1.689,true
none,checkout,10.310,15.278,true
none,product page,10.320,1.202,true
none,checkout,10.330,12.935,true
none,product page,10.340,1.160,true
none,product page,10.350,1.018,true
none,product page,10.360,1.293,true
none,product page,10.370,1.110,true
none,product page,10.380,1.477,true
none,product page,10.390,2.048,true
none,product page,10.400,1.431,true
none,order history,10.410,1.539,true
none,product page,10.420,1.216,true
none,product page,10.430,0.919,true
none,order history,10.440,-0.088,true
none,order history,10.450,0.166,true
none,product page,10.460,0.720,true
none,order history,10.470,0.270,true
none,product page,10.480,1.179,true
none,product page,10.490,1.673,true
none,product page,10.500,1.336,true
none,product page,10.510,1.817,true
none,product page,10.520,1.318,true
none,order history,10.530,-0.041,true
none,product page,10.540,0.872,true
none,product page,10.550,0.051,true
none,checkout,10.560,14.652,true
none,product page,10.570,1.451,true
none,product page,10.580,1.397,true
none,product page,10.590,0.640,true
none,product page,10.600,1.755,true
none,product page,10.610,1.686,true
none,checkout,10.620,15.085,true
none,product page,10.630,1.047,true
none,product page,10.640,1.176,true
none,order history,10.650,0.896,true
none,product page,10.660,1.330,true
none,product page,10.670,1.066,true
none,product page,10.680,0.887,true
none,product page,10.690,1.694,true
none,product page,10.700,2.800,true
none,product page,10.710,1.842,true
none,product page,10.720,0.999,true
none,product page,10.730,0.148,true
none,product page,10.740,0.503,true
none,order history,10.750,0.289,true
none,product page,10.760,0.965,true
none,checkout,10.770,14.451,true
none,product page,10.780,1.364,true
none,product page,10.790,1.485,true
none,checkout,10.800,14.214,true
none,product page,10.810,1.722,true
none,product page,10.820,0.303,true
none,product page,10.830,1.421,true
none,checkout,10.840,13.537,true
none,checkout,10.850,14.642,true
none,product page,10.860,1.006,true
none,product page,10.870,1.758,true
none,product page,10.880,1.776,true
none,product page,10.890,1.541,true
none,product page,10.900,0.772,true
none,product page,10.910,0.544,true
none,order history,10.920,0.587,true
none,product page,10.930,0.633,true
none,order history,10.940,0.579,true
none,checkout,10.950,14.360,true
none,product page,10.960,1.116,true
none,order history,10.970,0.879,true
none,product page,10.980,1.543,true
none,order history,10.990,1.619,true
none,product page,11.000,1.212,true
none,product page,11.010,0.707,true
none,order history,11.020,0.822,true
none,product page,11.030,1.280,true
none,product page,11.040,0.961,true
none,product page,11.050,1.262,true
none,product page,11.060,1.672,true
none,product page,11.070,0.904,true
none,product page,11.080,1.848,true
none,checkout,11.090,12.458,true
none,order history,11.100,0.889,true
none,product page,11.110,1.276,true
none,order history,11.120,0.920,true
none,product page,11.130,0.445,true
none,product page,11.140,1.283,true
none,product page,11.150,1.038,true
none,product page,11.160,1.941,true
none,product page,11.170,1.464,true
none,product page,11.180,0.768,true
none,product page,11.190,0.120,true
none,product page,11.200,0.980,true
none,product page,11.210,0.842,true
none,checkout,11.220,13.298,true
none,product page,11.230,0.813,true
none,product page,11.240,1.538,true
none,product page,11.250,1.344,true
none,checkout,11.260,14.888,true
none,product page,11.270,2.863,true
none,product page,11.280,0.466,true
none,product page,11.290,0.783,true
none,order history,11.300,0.532,true
none,product page,11.310,1.928,true
none,product page,11.320,1.691,true
none,product page,11.330,1.685,true
none,product page,11.340,2.292,true
none,product page,11.350,0.671,true
none,product page,11.360,0.353,true
none,product page,11.370,0.669,true
none,product page,11.380,0.722,true
none,order history,11.390,1.946,true
none,product page,11.400,1.132,true
none,order history,11.410,1.521,true
none,product page,11.420,1.573,true
none,product page,11.430,1.307,true
none,order history,11.440,-0.417,true
none,checkout,11.450,13.575,true
none,product page,11.460,1.335,true
none,product page,11.470,0.915,true
none,product page,11.480,1.303,true
none,product page,11.490,0.703,true
none,product page,11.500,1.854,true
none,order history,11.510,1.141,true
none,product page,11.520,2.107,true
none,product page,11.530,-0.276,true
none,order history,11.540,0.047,true
none,order history,11.550,0.947,true
none,order history,11.560,0.782,true
none,product page,11.570,1.022,true
none,product page,11.580,1.051,true
none,product page,11.590,0.672,true
none,product page,11.600,0.509,true
none,checkout,11.610,15.372,true
none,order history,11.620,1.105,true
none,checkout,11.630,13.924,true
none,product page,11.640,0.082,true
none,product page,11.650,0.521,true
none,order history,11.660,0.654,true
none,product page,11.670,0.859,true
none,product page,11.680,0.850,true
none,product page,11.690,0.726,true
none,product page,11.700,0.790,true
none,product page,11.710,1.498,true
none,checkout,11.720,13.204,true
none,order history,11.730,1.230,true
none,checkout,11.740,23.560,true
none,product page,11.750,-0.457,true
none,product page,11.760,0.666,true
none,product page,11.770,0.417,true
none,product page,11.780,0.736,true
none,product page,11.790,1.530,true
none,product page,11.800,1.998,true
none,product page,11.810,1.623,true
none,product page,11.820,1.648,true
none,product page,11.830,2.540,true
none,product page,11.840,2.804,true
none,checkout,11.850,21.125,true
none,product page,11.860,1.425,true
none,checkout,11.870,19.276,true
none,product page,11.880,2.266,true
none,product page,11.890,1.522,true
none,product page,11.900,1.655,true
none,product page,11.910,1.939,true
none,product page,11.920,2.146,true
none,order history,11.930,2.016,true
none,product page,11.940,3.969,true
none,product page,11.950,2.430,true
none,order history,11.960,0.998,true
none,product page,11.970,2.003,true
none,product page,11.980,1.391,true
none,checkout,11.990,16.603,true
none,order history,12.000,1.763,true
none,product page,12.010,1.931,true
none,checkout,12.020,14.819,true
none,product page,12.030,1.950,true
none,product page,12.040,1.240,true
none,product page,12.050,0.286,true
none,product page,12.060,0.987,true
none,order history,12.070,0.819,true
none,order history,12.080,1.393,true
none,product page,12.090,1.411,true
none,product page,12.100,1.395,true
none,product page,12.110,1.573,true
none,product page,12.120,0.557,true
none,product page,12.130,1.271,true
none,order history,12.140,0.239,true
none,product page,12.150,1.485,true
none,order history,12.160,0.427,true
none,order history,12.170,0.549,true
none,product page,12.180,1.373,true
none,product page,12.190,1.361,true
none,product page,12.200,1.371,true
none,product page,12.210,0.515,true
none,product page,12.220,0.801,true
none,order history,12.230,0.866,true
none,product page,12.240,1.298,true
none,product page,12.250,1.294,true
none,product page,12.260,0.781,true
none,product page,12.270,1.165,true
none,order history,12.280,0.600,true
none,order history,12.290,1.303,true
none,product page,12.300,1.664,true
none,product page,12.310,0.711,true
none,order history,12.320,0.578,true
none,checkout,12.330,14.407,true
none,product page,12.340,1.086,true
none,order history,12.350,1.312,true
none,product page,12.360,1.274,true
none,order history,12.370,1.554,true
none,product page,12.380,1.361,true
none,product page,12.390,1.133,true
none,product page,12.400,0.890,true
none,checkout,12.410,13.848,true
none,product page,12.420,0.932,true
none,product page,12.430,1.294,true
none,product page,12.440,0.855,true
none,order history,12.450,1.166,true
none,product page,12.460,1.369,true
none,product page,12.470,1.573,true
none,product page,12.480,2.421,true
none,product page,12.490,1.452,true
none,product page,12.500,0.060,true
none,product page,12.510,1.193,true
none,product page,12.520,2.088,true
none,product page,12.530,1.365,true
none,product page,12.540,1.236,true
none,product page,12.550,0.979,true
none,product page,12.560,1.878,true
none,order history,12.570,1.483,true
none,product page,12.580,0.780,true
none,checkout,12.590,13.232,true
none,product page,12.600,1.206,true
none,order history,12.610,0.759,true
none,product page,12.620,0.328,true
none,product page,12.630,0.901,true
none,product page,12.640,0.989,true
none,product page,12.650,0.701,true
none,order history,12.660,0.727,true
none,product page,12.670,1.838,true
none,product page,12.680,0.365,true
none,order history,12.690,-0.127,true
none,product page,12.700,0.763,true
none,product page,12.710,1.003,true
none,product page,12.720,1.324,true
none,checkout,12.730,13.771,true
none,product page,12.740,1.234,true
none,product page,12.750,1.786,true
none,product page,12.760,1.267,true
none,product page,12.770,0.530,true
none,order history,12.780,-0.064,true
none,product page,12.790,0.820,true
none,product page,12.800,0.503,true
none,order history,12.810,1.042,true
none,product page,12.820,1.012,true
none,product page,12.830,1.319,true
none,product page,12.840,2.755,true
none,checkout,12.850,15.497,true
none,product page,12.860,0.981,true
none,checkout,12.870,13.867,true
none,product page,12.880,0.828,true
none,product page,12.890,0.806,true
none,product page,12.900,0.645,true
none,product page,12.910,1.463,true
none,product page,12.920,1.458,true
none,order history,12.930,1.481,true
none,order history,12.940,1.619,true
none,order history,12.950,0.508,true
none,product page,12.960,0.778,true
none,product page,12.970,0.848,true
none,order history,12.980,0.773,true
none,product page,12.990,1.093,true
none,product page,13.000,1.132,true
none,product page,13.010,1.200,true
none,product page,13.020,1.288,true
none,product page,13.030,2.259,true
none,product page,13.040,0.360,true
none,product page,13.050,0.631,true
none,product page,13.060,0.749,true
none,product page,13.070,1.311,true
none,checkout,13.080,14.300,true
none,product page,13.090,1.066,true
none,product page,13.100,1.197,true
none,order history,13.110,1.372,true
none,checkout,13.120,14.517,true
none,order history,13.130,0.824,true
none,order history,13.140,1.118,true
none,order history,13.150,1.169,true
none,product page,13.160,1.027,true
none,order history,13.170,0.411,true
none,product page,13.180,0.883,true
none,product page,13.190,1.295,true
none,order history,13.200,1.071,true
none,product page,13.210,1.619,true
none,checkout,13.220,16.565,true
none,product page,13.230,0.190,true
none,order history,13.240,0.995,true
none,product page,13.250,0.736,true
none,order history,13.260,1.315,true
none,product page,13.270,1.909,true
none,product page,13.280,1.308,true
none,product page,13.290,0.702,true
none,product page,13.300,1.618,true
none,checkout,13.310,14.929,true
none,order history,13.320,0.449,true
none,product page,13.330,1.021,true
none,product page,13.340,1.070,true
none,product page,13.350,0.849,true
none,product page,13.360,1.478,true
none,product page,13.370,1.671,true
none,product page,13.380,2.540,true
none,checkout,13.390,15.558,true
none,order history,13.400,1.045,true
none,product page,13.410,-0.537,true
none,order history,13.420,0.116,true
none,product page,13.430,0.559,true
none,checkout,13.440,19.182,true
none,order history,13.450,0.509,true
none,order history,13.460,0.518,true
none,product page,13.470,1.923,true
none,order history,13.480,1.486,true
none,product page,13.490,1.358,true
none,checkout,13.500,18.335,true
none,product page,13.510,0.450,true
none,order history,13.520,0.589,true
none,order history,13.530,0.875,true
none,product page,13.540,0.948,true
none,product page,13.550,0.925,true
none,product page,13.560,0.989,true
none,product page,13.570,1.116,true
none,product page,13.580,1.660,true
none,order history,13.590,0.184,true
none,product page,13.600,0.509,true
none,order history,13.610,0.394,true
none,product page,13.620,0.556,true
none,product page,13.630,1.213,true
none,product page,13.640,2.353,true
none,order history,13.650,1.261,true
none,order history,13.660,0.976,true
none,product page,13.670,1.283,true
none,product page,13.680,14.159,true
none,product page,13.690,0.298,true
none,product page,13.700,0.918,true
none,product page,13.710,1.240,true
none,product page,13.720,0.743,true
none,product page,13.730,1.255,true
none,product page,13.740,0.877,true
none,product page,13.750,1.431,true
none,product page,13.760,1.508,true
none,product page,13.770,1.932,true
none,checkout,13.780,15.654,true
none,order history,13.790,-0.018,true
none,order history,13.800,0.690,true
none,product page,13.810,0.428,true
none,product page,13.820,1.219,true
none,order history,13.830,0.415,true
none,order history,13.840,1.515,true
none,product page,13.850,1.093,true
none,product page,13.860,1.328,true
none,checkout,13.870,19.055,true
none,order history,13.880,0.814,true
none,product page,13.890,1.159,true
none,checkout,13.900,15.950,true
none,product page,13.910,2.183,true
none,product page,13.920,3.047,true
none,product page,13.930,1.997,true
none,order history,13.940,1.994,true
none,product page,13.950,1.693,true
none,product page,13.960,1.621,true
none,product page,13.970,4.285,true
none,product page,13.980,1.926,true
none,product page,13.990,1.882,true
none,product page,14.000,2.551,true
none,checkout,14.010,24.633,true
none,product page,14.020,3.185,true
