scenario,operation,second,latency_ms,ok
none,product page,10.340,1.374,true
none,checkout,10.350,8.540,true
none,order history,10.360,-0.284,true
none,product page,10.370,0.665,true
none,product page,10.380,0.743,true
none,product page,10.390,0.766,true
none,product page,10.400,1.872,true
none,product page,10.410,0.930,true
none,product page,10.420,1.759,true
none,product page,10.430,0.341,true
none,product page,10.440,0.476,true
none,order history,10.450,-0.191,true
none,product page,10.460,0.292,true
none,product page,10.470,0.850,true
none,product page,10.480,0.981,true
none,order history,10.490,0.417,true
none,product page,10.500,2.064,true
none,product page,10.510,0.161,true
none,product page,10.520,-0.138,true
none,order history,10.530,-0.168,true
none,order history,10.540,-0.039,true
none,product page,10.550,0.605,true
none,product page,10.560,0.783,true
none,product page,10.570,0.367,true
none,product page,10.580,1.075,true
none,order history,10.590,0.488,true
none,order history,10.600,-0.354,true
none,product page,10.610,0.784,true
none,product page,10.620,0.303,true
none,product page,10.630,0.333,true
none,product page,10.640,0.169,true
none,product page,10.650,0.721,true
none,product page,10.660,0.923,true
none,product page,10.670,0.869,true
none,product page,10.680,1.075,true
none,product page,10.690,0.698,true
none,product page,10.700,0.319,true
none,order history,10.710,0.817,true
none,product page,10.720,0.413,true
none,product page,10.730,0.481,true
none,checkout,10.740,8.931,true
none,product page,10.750,0.563,true
none,product page,10.760,0.926,true
none,product page,10.770,0.946,true
none,product page,10.780,1.075,true
none,product page,10.790,0.189,true
none,product page,10.800,0.214,true
none,product page,10.810,1.375,true
none,order history,10.820,-0.161,true
none,order history,10.830,-0.020,true
none,product page,10.840,0.179,true
none,product page,10.850,0.657,true
none,product page,10.860,0.509,true
none,product page,10.870,0.755,true
none,product page,10.880,1.001,true
none,product page,10.890,1.182,true
none,order history,10.900,-0.201,true
none,checkout,10.910,18.596,true
none,order history,10.920,-0.082,true
none,product page,10.930,0.279,true
none,product page,10.940,0.751,true
none,order history,10.950,0.731,true
none,checkout,10.960,8.404,true
none,order history,10.970,1.586,true
none,order history,10.980,-0.383,true
none,product page,10.990,0.338,true
none,product page,11.000,-0.083,true
none,product page,11.010,0.379,true
none,checkout,11.020,9.009,true
none,checkout,11.030,8.420,true
none,product page,11.040,0.971,true
none,order history,11.050,0.267,true
none,checkout,11.060,8.907,true
none,order history,11.070,-0.410,true
none,product page,11.080,0.131,true
none,checkout,11.090,8.803,true
none,order history,11.100,0.651,true
none,order history,11.110,-0.086,true
none,checkout,11.120,8.602,true
none,product page,11.130,0.811,true
none,product page,11.140,0.871,true
none,product page,11.150,0.986,true
none,order history,11.160,0.433,true
none,order history,11.170,1.451,true
none,product page,11.180,0.248,true
none,product page,11.190,0.321,true
none,product page,11.200,0.358,true
none,product page,11.210,0.401,true
none,product page,11.220,0.527,true
none,product page,11.230,0.143,true
none,product page,11.240,0.651,true
none,product page,11.250,0.902,true
none,product page,11.260,0.669,true
none,order history,11.270,0.526,true
none,product page,11.280,1.221,true
none,product page,11.290,0.428,true
none,product page,11.300,1.253,true
none,product page,11.310,0.520,true
none,order history,11.320,-0.147,true
none,checkout,11.330,17.798,true
none,product page,11.340,0.827,true
none,product page,11.350,0.900,true
none,product page,11.360,0.619,true
none,order history,11.370,0.513,true
none,product page,11.380,0.290,true
none,product page,11.390,0.659,true
none,product page,11.400,0.426,true
none,order history,11.410,-0.175,true
none,product page,11.420,0.172,true
none,order history,11.430,0.019,true
none,order history,11.440,0.227,true
none,product page,11.450,0.774,true
none,product page,11.460,0.881,true
none,product page,11.470,0.869,true
none,product page,11.480,0.961,true
none,product page,11.490,0.072,true
none,product page,11.500,0.342,true
none,product page,11.510,1.450,true
none,product page,11.520,0.184,true
